racecourse,distance,going,raceclass,age_cond,age_cond,wintime,count
1.0,7.0,6,1.0,3,3,89.47,6
1.0,7.0,6,2.0,1,1,90.62,4
1.0,7.0,6,2.0,3,3,88.665,8
1.0,7.0,6,2.0,4,4,90.3975,4
1.0,7.0,6,3.0,1,1,89.615,2
1.0,7.0,6,3.0,2,2,89.81,3
1.0,7.0,6,3.0,3,3,90.42,1
1.0,7.0,6,4.0,1,1,91.08,1
1.0,7.0,6,4.0,3,3,89.59,1
1.0,7.0,8,1.0,1,1,92.46,1
1.0,7.0,8,2.0,1,1,94.0333333333,3
1.0,7.0,8,2.0,2,2,93.5,1
1.0,7.0,8,2.0,3,3,90.7625,4
1.0,8.0,2,1.0,1,1,101.0,2
1.0,8.0,2,1.0,2,2,99.2794117647,17
1.0,8.0,2,1.0,3,3,99.1533333333,3
1.0,8.0,2,1.0,4,4,99.436,15
1.0,8.0,2,2.0,1,1,102.495,2
1.0,8.0,2,2.0,2,2,99.31,6
1.0,8.0,2,2.0,3,3,99.6366666667,6
1.0,8.0,2,3.0,2,2,100.775,2
1.0,8.0,2,3.0,3,3,100.228571429,7
1.0,8.0,2,4.0,2,2,103.193333333,3
1.0,8.0,2,4.0,4,4,101.685,2
1.0,8.0,3,1.0,1,1,100.652,5
1.0,8.0,3,1.0,2,2,99.88,18
1.0,8.0,3,1.0,3,3,100.480769231,13
1.0,8.0,3,1.0,4,4,99.5289473684,19
1.0,8.0,3,2.0,1,1,104.84,1
1.0,8.0,3,2.0,2,2,100.323333333,12
1.0,8.0,3,2.0,3,3,100.297647059,17
1.0,8.0,3,2.0,4,4,100.756,5
1.0,8.0,3,3.0,2,2,101.546,5
1.0,8.0,3,3.0,3,3,101.867,10
1.0,8.0,3,4.0,2,2,101.775789474,19
1.0,8.0,3,4.0,3,3,102.52,4
1.0,8.0,3,4.0,4,4,100.546,5
1.0,8.0,5,1.0,1,1,103.192,5
1.0,8.0,5,1.0,2,2,102.0225,8
1.0,8.0,5,1.0,3,3,101.152727273,11
1.0,8.0,5,1.0,4,4,100.062,5
1.0,8.0,5,2.0,1,1,103.95,1
1.0,8.0,5,2.0,2,2,101.92,7
1.0,8.0,5,2.0,3,3,102.295,2
1.0,8.0,5,2.0,4,4,101.99,7
1.0,8.0,5,3.0,2,2,103.68,2
1.0,8.0,5,3.0,3,3,102.791428571,7
1.0,8.0,5,4.0,1,1,104.85,1
1.0,8.0,5,4.0,2,2,102.992,10
1.0,8.0,5,4.0,3,3,103.83,4
1.0,8.0,5,4.0,4,4,102.53,2
1.0,8.0,6,1.0,1,1,103.308571429,7
1.0,8.0,6,1.0,2,2,105.83,3
1.0,8.0,6,1.0,3,3,101.665,8
1.0,8.0,6,1.0,4,4,102.16,1
1.0,8.0,6,2.0,2,2,102.26,1
1.0,8.0,6,2.0,3,3,103.09,4
1.0,8.0,6,2.0,4,4,103.185,2
1.0,8.0,6,3.0,3,3,104.606666667,3
1.0,8.0,6,3.0,4,4,106.53,2
1.0,8.0,6,4.0,2,2,103.086666667,3
1.0,8.0,6,4.0,3,3,104.936666667,3
1.0,8.0,8,1.0,1,1,106.193333333,3
1.0,8.0,8,1.0,2,2,102.75,1
1.0,8.0,8,1.0,3,3,105.1,5
1.0,8.0,8,1.0,4,4,106.465,2
1.0,8.0,8,2.0,2,2,104.55,1
1.0,8.0,8,2.0,3,3,106.183333333,3
1.0,8.0,8,3.0,2,2,105.64,1
1.0,8.0,8,4.0,2,2,108.33,1
1.0,8.0,8,4.0,4,4,107.44,1
1.0,10.0,2,1.0,2,2,125.2775,4
1.0,10.0,2,1.0,3,3,127.7,1
1.0,10.0,2,1.0,4,4,124.885,10
1.0,10.0,2,2.0,3,3,126.75,2
1.0,10.0,2,2.0,4,4,124.96,1
1.0,10.0,2,3.0,3,3,127.2775,4
1.0,10.0,2,4.0,3,3,127.59,1
1.0,10.0,3,1.0,2,2,126.301428571,7
1.0,10.0,3,1.0,3,3,122.52,1
1.0,10.0,3,1.0,4,4,124.982857143,14
1.0,10.0,3,2.0,3,3,127.844,15
1.0,10.0,3,3.0,2,2,128.9075,4
1.0,10.0,3,3.0,3,3,127.750909091,11
1.0,10.0,3,3.0,4,4,127.52,1
1.0,10.0,3,4.0,2,2,131.43,1
1.0,10.0,3,4.0,3,3,130.373333333,3
1.0,10.0,5,1.0,2,2,130.03,1
1.0,10.0,5,1.0,4,4,129.16,2
1.0,10.0,5,2.0,3,3,129.781111111,9
1.0,10.0,5,2.0,4,4,127.56,1
1.0,10.0,5,3.0,2,2,129.26,1
1.0,10.0,5,3.0,3,3,131.295,4
1.0,10.0,5,4.0,3,3,130.2,1
1.0,10.0,6,1.0,3,3,126.31,1
1.0,10.0,6,1.0,4,4,128.0,1
1.0,10.0,6,2.0,3,3,132.313333333,3
1.0,10.0,6,3.0,3,3,130.993333333,3
1.0,10.0,8,1.0,2,2,131.84,1
1.0,10.0,8,1.0,3,3,131.156666667,3
1.0,10.0,8,1.0,4,4,130.48,1
1.0,12.0,2,1.0,2,2,149.69,8
1.0,12.0,2,1.0,3,3,150.143333333,3
1.0,12.0,2,1.0,4,4,148.426666667,3
1.0,12.0,2,2.0,2,2,150.055,8
1.0,12.0,2,2.0,3,3,150.901666667,6
1.0,12.0,2,3.0,3,3,153.36,1
1.0,12.0,2,4.0,2,2,153.195,2
1.0,12.0,3,1.0,2,2,150.28,12
1.0,12.0,3,1.0,3,3,150.3695,20
1.0,12.0,3,1.0,4,4,150.342727273,11
1.0,12.0,3,2.0,2,2,151.077777778,9
1.0,12.0,3,2.0,3,3,150.303846154,13
1.0,12.0,3,2.0,4,4,153.38,2
1.0,12.0,3,3.0,2,2,152.9525,4
1.0,12.0,3,3.0,3,3,151.864285714,7
