racecourse,age_cond,going,raceclass,distance,distance,wintime,count
1.0,2,5,4.0,7.0,7.0,89.535,2
1.0,2,5,4.0,8.0,8.0,102.992,10
1.0,2,5,4.0,12.0,12.0,155.77,2
1.0,2,6,1.0,6.0,6.0,77.265,2
1.0,2,6,1.0,8.0,8.0,105.83,3
1.0,2,6,1.0,12.0,12.0,155.41,1
1.0,2,6,1.0,14.0,14.0,189.47,2
1.0,2,6,1.0,16.0,16.0,214.05,1
1.0,2,6,2.0,6.0,6.0,75.2971428571,7
1.0,2,6,2.0,8.0,8.0,102.26,1
1.0,2,6,3.0,7.0,7.0,89.81,3
1.0,2,6,3.0,12.0,12.0,153.98,1
1.0,2,6,4.0,8.0,8.0,103.086666667,3
1.0,2,6,4.0,12.0,12.0,158.17,2
1.0,2,8,1.0,6.0,6.0,76.81,1
1.0,2,8,1.0,8.0,8.0,102.75,1
1.0,2,8,1.0,10.0,10.0,131.84,1
1.0,2,8,1.0,12.0,12.0,155.77,2
1.0,2,8,1.0,16.0,16.0,220.97,1
1.0,2,8,2.0,7.0,7.0,93.5,1
1.0,2,8,2.0,8.0,8.0,104.55,1
1.0,2,8,2.0,12.0,12.0,156.93,1
1.0,2,8,3.0,8.0,8.0,105.64,1
1.0,2,8,4.0,8.0,8.0,108.33,1
1.0,3,2,1.0,5.0,5.0,59.436,5
1.0,3,2,1.0,6.0,6.0,72.7266666667,3
1.0,3,2,1.0,8.0,8.0,99.1533333333,3
1.0,3,2,1.0,10.0,10.0,127.7,1
1.0,3,2,1.0,12.0,12.0,150.143333333,3
1.0,3,2,1.0,16.2,16.2,214.87,1
1.0,3,2,2.0,5.0,5.0,59.7983333333,6
1.0,3,2,2.0,6.0,6.0,73.1766666667,3
1.0,3,2,2.0,7.0,7.0,86.18,8
1.0,3,2,2.0,8.0,8.0,99.6366666667,6
1.0,3,2,2.0,10.0,10.0,126.75,2
1.0,3,2,2.0,12.0,12.0,150.901666667,6
1.0,3,2,2.0,16.0,16.0,209.6,1
1.0,3,2,2.0,16.2,16.2,213.82,1
1.0,3,2,3.0,5.0,5.0,59.78,3
1.0,3,2,3.0,6.0,6.0,72.39,1
1.0,3,2,3.0,7.0,7.0,87.8,1
1.0,3,2,3.0,8.0,8.0,100.228571429,7
1.0,3,2,3.0,10.0,10.0,127.2775,4
1.0,3,2,3.0,12.0,12.0,153.36,1
1.0,3,2,3.0,14.0,14.0,181.63,1
1.0,3,2,3.0,16.2,16.2,216.92,1
1.0,3,2,4.0,5.0,5.0,60.57,1
1.0,3,2,4.0,7.0,7.0,87.8975,4
1.0,3,2,4.0,10.0,10.0,127.59,1
1.0,3,2,4.0,16.2,16.2,208.95,1
1.0,3,3,1.0,5.0,5.0,59.34,8
1.0,3,3,1.0,6.0,6.0,73.35,10
1.0,3,3,1.0,7.0,7.0,87.595,6
1.0,3,3,1.0,8.0,8.0,100.480769231,13
1.0,3,3,1.0,10.0,10.0,122.52,1
1.0,3,3,1.0,12.0,12.0,150.3695,20
1.0,3,3,1.0,16.0,16.0,208.37,3
1.0,3,3,1.0,16.2,16.2,215.71,1
1.0,3,3,2.0,5.0,5.0,60.2194444444,18
1.0,3,3,2.0,6.0,6.0,73.3671428571,7
1.0,3,3,2.0,7.0,7.0,86.8475,20
1.0,3,3,2.0,8.0,8.0,100.297647059,17
1.0,3,3,2.0,10.0,10.0,127.844,15
1.0,3,3,2.0,12.0,12.0,150.303846154,13
1.0,3,3,2.0,16.0,16.0,210.076666667,3
1.0,3,3,2.0,16.2,16.2,210.75,1
1.0,3,3,3.0,5.0,5.0,60.56,4
1.0,3,3,3.0,6.0,6.0,74.5014285714,7
1.0,3,3,3.0,6.5,6.5,81.03,1
1.0,3,3,3.0,7.0,7.0,88.913,10
1.0,3,3,3.0,8.0,8.0,101.867,10
1.0,3,3,3.0,10.0,10.0,127.750909091,11
1.0,3,3,3.0,12.0,12.0,151.864285714,7
1.0,3,3,3.0,14.0,14.0,182.67,2
1.0,3,3,3.0,16.0,16.0,211.41,3
1.0,3,3,4.0,5.0,5.0,60.9966666667,6
1.0,3,3,4.0,7.0,7.0,88.7125,4
1.0,3,3,4.0,8.0,8.0,102.52,4
1.0,3,3,4.0,10.0,10.0,130.373333333,3
1.0,3,3,4.0,12.0,12.0,157.79,1
1.0,3,3,4.0,16.2,16.2,214.723333333,3
1.0,3,5,1.0,5.0,5.0,60.3025,4
1.0,3,5,1.0,6.0,6.0,74.524,5
1.0,3,5,1.0,7.0,7.0,89.06,2
1.0,3,5,1.0,8.0,8.0,101.152727273,11
1.0,3,5,1.0,12.0,12.0,153.418571429,7
1.0,3,5,1.0,16.0,16.0,219.72,1
1.0,3,5,2.0,5.0,5.0,61.082,5
1.0,3,5,2.0,6.0,6.0,75.23875,8
1.0,3,5,2.0,7.0,7.0,88.6666666667,6
1.0,3,5,2.0,8.0,8.0,102.295,2
1.0,3,5,2.0,10.0,10.0,129.781111111,9
1.0,3,5,2.0,12.0,12.0,153.613,10
1.0,3,5,2.0,16.0,16.0,212.3075,4
1.0,3,5,2.0,16.2,16.2,215.97,1
1.0,3,5,3.0,5.0,5.0,61.8,4
1.0,3,5,3.0,6.0,6.0,75.185,4
1.0,3,5,3.0,6.5,6.5,83.05,2
1.0,3,5,3.0,7.0,7.0,89.7325,4
1.0,3,5,3.0,8.0,8.0,102.791428571,7
1.0,3,5,3.0,10.0,10.0,131.295,4
1.0,3,5,3.0,12.0,12.0,154.91,3
1.0,3,5,3.0,16.0,16.0,212.465,6
1.0,3,5,4.0,5.0,5.0,61.9466666667,3
1.0,3,5,4.0,7.0,7.0,88.02,1
1.0,3,5,4.0,8.0,8.0,103.83,4
1.0,3,5,4.0,10.0,10.0,130.2,1
1.0,3,5,4.0,12.0,12.0,157.18,1
1.0,3,5,4.0,16.2,16.2,212.86,1
1.0,3,5,5.0,12.0,12.0,157.96,1
1.0,3,6,1.0,5.0,5.0,61.4666666667,3
1.0,3,6,1.0,6.0,6.0,74.4033333333,6
1.0,3,6,1.0,7.0,7.0,89.47,6
1.0,3,6,1.0,8.0,8.0,101.665,8
1.0,3,6,1.0,10.0,10.0,126.31,1
1.0,3,6,1.0,12.0,12.0,155.660833333,12
1.0,3,6,1.0,16.0,16.0,214.52,2
1.0,3,6,2.0,5.0,5.0,61.6075,4
1.0,3,6,2.0,6.0,6.0,78.62,1
1.0,3,6,2.0,7.0,7.0,88.665,8
1.0,3,6,2.0,8.0,8.0,103.09,4
1.0,3,6,2.0,10.0,10.0,132.313333333,3
1.0,3,6,2.0,12.0,12.0,157.755,4
1.0,3,6,2.0,16.0,16.0,215.4975,4
1.0,3,6,3.0,5.0,5.0,62.975,2
1.0,3,6,3.0,7.0,7.0,90.42,1
1.0,3,6,3.0,8.0,8.0,104.606666667,3
1.0,3,6,3.0,10.0,10.0,130.993333333,3
1.0,3,6,3.0,16.0,16.0,216.325,2
1.0,3,6,3.0,16.2,16.2,215.68,1
1.0,3,6,4.0,5.0,5.0,61.955,2
1.0,3,6,4.0,7.0,7.0,89.59,1
1.0,3,6,4.0,8.0,8.0,104.936666667,3
1.0,3,8,1.0,6.0,6.0,76.865,6
1.0,3,8,1.0,8.0,8.0,105.1,5
1.0,3,8,1.0,10.0,10.0,131.156666667,3
1.0,3,8,1.0,12.0,12.0,158.658,5
1.0,3,8,1.0,16.0,16.0,216.946666667,3
1.0,3,8,2.0,5.0,5.0,63.4,2
1.0,3,8,2.0,6.0,6.0,76.9,1
1.0,3,8,2.0,7.0,7.0,90.7625,4
1.0,3,8,2.0,8.0,8.0,106.183333333,3
1.0,3,8,2.0,12.0,12.0,160.653333333,3
1.0,3,8,3.0,16.2,16.2,224.07,1
1.0,4,2,1.0,6.0,6.0,72.69,1
1.0,4,2,1.0,8.0,8.0,99.436,15
1.0,4,2,1.0,10.0,10.0,124.885,10
1.0,4,2,1.0,12.0,12.0,148.426666667,3
1.0,4,2,1.0,16.0,16.0,204.12,1
