distance,raceclass,age_cond,going,racecourse,racecourse,wintime,count
5.0,2.0,2,6,62.0,62.0,59.38,2
5.0,2.0,2,8,51.0,51.0,62.31,1
5.0,2.0,2,8,62.0,62.0,61.06,1
5.0,2.0,3,1,28.0,28.0,57.72,1
5.0,2.0,3,1,30.0,30.0,57.66,1
5.0,2.0,3,1,47.0,47.0,57.16,1
5.0,2.0,3,2,1.0,1.0,59.7983333333,6
5.0,2.0,3,2,2.0,2.0,58.15,1
5.0,2.0,3,2,14.0,14.0,58.34,3
5.0,2.0,3,2,22.0,22.0,57.84,1
5.0,2.0,3,2,35.0,35.0,58.91,1
5.0,2.0,3,2,62.0,62.0,57.8933333333,3
5.0,2.0,3,3,1.0,1.0,60.2194444444,18
5.0,2.0,3,3,2.0,2.0,57.87,1
5.0,2.0,3,3,5.0,5.0,62.37,4
5.0,2.0,3,3,14.0,14.0,59.146,5
5.0,2.0,3,3,15.0,15.0,57.9828571429,7
5.0,2.0,3,3,16.0,16.0,54.3254545455,11
5.0,2.0,3,3,22.0,22.0,59.692,10
5.0,2.0,3,3,35.0,35.0,59.1575,4
5.0,2.0,3,3,36.0,36.0,59.53,1
5.0,2.0,3,3,60.0,60.0,58.01,1
5.0,2.0,3,3,62.0,62.0,58.1483333333,6
5.0,2.0,3,4,28.0,28.0,58.8,1
5.0,2.0,3,4,30.0,30.0,58.95,6
5.0,2.0,3,4,47.0,47.0,58.3766666667,6
5.0,2.0,3,5,1.0,1.0,61.082,5
5.0,2.0,3,5,2.0,2.0,58.59,1
5.0,2.0,3,5,5.0,5.0,62.9466666667,3
5.0,2.0,3,5,9.0,9.0,59.49,2
5.0,2.0,3,5,14.0,14.0,60.0757142857,7
5.0,2.0,3,5,15.0,15.0,59.5128571429,7
5.0,2.0,3,5,16.0,16.0,55.1944444444,9
5.0,2.0,3,5,20.0,20.0,58.39,1
5.0,2.0,3,5,22.0,22.0,59.3,6
5.0,2.0,3,5,35.0,35.0,59.6975,4
5.0,2.0,3,5,36.0,36.0,59.01,2
5.0,2.0,3,5,62.0,62.0,58.7966666667,3
5.0,2.0,3,6,1.0,1.0,61.6075,4
5.0,2.0,3,6,2.0,2.0,59.93,3
5.0,2.0,3,6,9.0,9.0,60.89,1
5.0,2.0,3,6,14.0,14.0,60.625,2
5.0,2.0,3,6,15.0,15.0,61.664,5
5.0,2.0,3,6,16.0,16.0,55.63,5
5.0,2.0,3,6,20.0,20.0,59.83,1
5.0,2.0,3,6,22.0,22.0,60.4916666667,6
5.0,2.0,3,6,35.0,35.0,60.1466666667,3
5.0,2.0,3,6,36.0,36.0,60.2,3
5.0,2.0,3,6,41.0,41.0,64.11,1
5.0,2.0,3,6,62.0,62.0,60.705,2
5.0,2.0,3,8,1.0,1.0,63.4,2
5.0,2.0,3,8,9.0,9.0,60.97,1
5.0,2.0,3,8,14.0,14.0,63.1466666667,6
5.0,2.0,3,8,15.0,15.0,61.9433333333,3
5.0,2.0,3,8,20.0,20.0,61.26,1
5.0,2.0,3,8,22.0,22.0,62.6525,4
5.0,2.0,3,8,29.0,29.0,62.15,1
5.0,2.0,3,8,35.0,35.0,60.87,1
