,Group.1,Group.2,Group.3,x.0%,x.5%
2214,13.06,2,6,172.09,172.343
2877,13.06,2,C,168.51,169.274
3645,13.06,2,E,170.23,170.2435
4076,13.06,2,F,171.88,172.393
4546,13.06,2,H,176.61,176.61
1152,14,2,4,183.73,183.862
1703,14,2,5,219.48,219.48
621,15,2,3,208.9,208.9
1153,15,2,4,195.13,196.05
1704,15,2,5,219.13,219.13
2215,15,2,6,197.73,198.06
2878,15,2,C,195.18,195.453
3646,15,2,E,204.66,204.66
4077,15,2,F,200.27,200.549
21,16,2,1,214.4,214.4
253,16,2,2,222.53,222.792
622,16,2,3,220.5,224.676
1154,16,2,4,224.47,230.539
1705,16,2,5,226.72,233.418
2527,16,2,A,215.56,216.1225
2693,16,2,B,221.66,222.0725
2879,16,2,C,222.85,223.0275
3197,16,2,D,216.08,228.065
3647,16,2,E,218.02,225.272
4078,16,2,F,226.86,229.308
254,17.48,2,2,245.91,245.91
623,17.48,2,3,239.51,239.911
1155,17.48,2,4,231.53,231.932
1706,17.48,2,5,245.51,245.71
3198,17.48,2,D,227.4,227.9055
255,20,2,2,308.91,309.4405
624,20,2,3,278.72,282.256
1156,20,2,4,298.83,303.195
1707,20,2,5,299.25,302.4135
2694,20,2,B,290.36,293.282
2880,20,2,C,278.2,280.88
3199,20,2,D,293.64,296.604
3648,20,2,E,302.73,303.96
4079,20,2,F,312.8,314.124
1157,21,2,4,325.26,328.672
256,21.5,2,2,302.9,303.7645
625,21.5,2,3,351.1,352.628
1158,21.5,2,4,324.68,330.104
1708,21.5,2,5,341.12,341.5045
257,22,2,2,326.86,326.86
1159,22,2,4,365.12,365.229
2695,22,2,B,311.51,313.2525
2881,22,2,C,322.68,322.68
3200,22,2,D,352.1,352.1
3649,22,2,E,311.75,318.326
258,24.5,2,2,348.51,350.9215
626,24.5,2,3,353.1,353.185
1160,24.5,2,4,364.69,375.79
1709,24.5,2,5,368.54,371.6
2696,24.5,2,B,351.31,351.635
3201,24.5,2,D,354.8,357.751
3650,24.5,2,E,380.06,380.12
4080,24.5,2,F,378.5,380.409
627,25,2,3,401.1,401.332
1161,25,2,4,410.07,410.353
259,17,3,2,230.9,232.195
628,17,3,3,235.14,235.4425
1162,17,3,4,235.1,237.4
1710,17,3,5,234.9,237.66
2697,17,3,B,249.97,249.97
2882,17,3,C,236.66,236.9175
3202,17,3,D,239.81,240.603
3651,17,3,E,235.1,242.185
4081,17,3,F,243.92,248.344
4389,17,3,G,241.9,241.954
260,17.5,3,2,264.23,264.3405
629,17.5,3,3,257.5,257.5
1163,17.5,3,4,245.87,247.6
1711,17.5,3,5,246,246.87
3203,17.5,3,D,254.86,256.1685
3652,17.5,3,E,264.87,266.502
261,20,3,2,275,276.945
630,20,3,3,286.53,287.4705
1164,20,3,4,278.7,281.974
1712,20,3,5,283.12,284.552
3204,20,3,D,282.47,286.6605
3653,20,3,E,281.8,285.106
4082,20,3,F,285.53,286.349
4390,20,3,G,284.63,286.62
631,20.5,3,3,289.8,291.1145
1165,20.5,3,4,292.8,293.746
1713,20.5,3,5,364.7,364.7
3205,20.5,3,D,298.13,299.649
3654,20.5,3,E,309.2,309.5495
262,24,3,2,337.25,338.855
632,24,3,3,334.64,337.18
1166,24,3,4,336.1,340.888
1714,24,3,5,332,335.12
2883,24,3,C,350.81,351.425
3206,24,3,D,339.16,339.908
3655,24,3,E,343.5,343.57
4083,24,3,F,350.67,351.0765
263,24.5,3,2,404.3,404.3
633,24.5,3,3,350.57,355.324
1167,24.5,3,4,354.53,355.784
2884,24.5,3,C,388.87,389.668
634,30,3,3,474.63,475.002
1168,30,3,4,492.6,494.12
22,5.05,4,1,58.75,59.202
635,5.05,4,3,60.45,60.546
1169,5.05,4,4,60.6,60.764
1715,5.05,4,5,60.63,60.684
2216,5.05,4,6,60.37,60.82
2528,5.05,4,A,61.11,61.164
3207,5.05,4,D,60.02,60.064
3656,5.05,4,E,60.89,61.17
4084,5.05,4,F,60.93,61.066
4391,5.05,4,G,61.97,61.9885
264,5.73,4,2,68.91,68.91
636,5.73,4,3,68.48,68.704
1170,5.73,4,4,69.34,69.56
1716,5.73,4,5,68.74,69.4715
2217,5.73,4,6,69.5,69.927
2885,5.73,4,C,68.46,68.709
3208,5.73,4,D,68.56,68.86
3657,5.73,4,E,69.06,69.42
4085,5.73,4,F,69.43,69.4775
4392,5.73,4,G,69.76,69.88
23,8.02,4,1,97.98,98.1725
265,8.02,4,2,106.11,106.11
637,8.02,4,3,99.03,99.305
1171,8.02,4,4,98.46,99.1535
1717,8.02,4,5,98.36,98.865
2218,8.02,4,6,98.75,99.462
2429,8.02,4,7,100.72,100.72
2529,8.02,4,A,97.3,97.414
2698,8.02,4,B,98.88,98.88
2886,8.02,4,C,98.21,98.404
3209,8.02,4,D,97.99,98.0495
3658,8.02,4,E,97.48,98.344
4086,8.02,4,F,98.85,99.0435
4393,8.02,4,G,99.62,99.6415
266,10.21,4,2,138.83,138.83
638,10.21,4,3,132.27,132.285
1172,10.21,4,4,127.22,127.286
1718,10.21,4,5,127.23,128.1225
2219,10.21,4,6,127.89,128.5195
3210,10.21,4,D,127.47,127.834
3659,10.21,4,E,127.22,127.262
4087,10.21,4,F,128.41,129.0715
4394,10.21,4,G,130.29,130.418
267,11.65,4,2,158.2,158.2
639,11.65,4,3,148.43,148.526
1173,11.65,4,4,146.41,146.459
1719,11.65,4,5,146.38,147.23
2220,11.65,4,6,148.34,148.6115
2887,11.65,4,C,147.93,147.934
3211,11.65,4,D,145.91,147.11
3660,11.65,4,E,149.08,149.445
4088,11.65,4,F,148.47,148.67
640,13.1,4,3,168.07,168.085
1174,13.1,4,4,172.37,172.3745
1720,13.1,4,5,168.91,169.098
2221,13.1,4,6,169.08,169.3825
3212,13.1,4,D,167.72,168.202
3661,13.1,4,E,167.96,168.484
268,17.15,4,2,227.59,227.829
641,17.15,4,3,232.91,232.91
1175,17.15,4,4,224.71,226.012
1721,17.15,4,5,224.74,225.6925
2222,17.15,4,6,225.72,226.5075
3213,17.15,4,D,225.01,225.8175
3662,17.15,4,E,223.41,223.8825
4089,17.15,4,F,231.93,232.133
24,5,5,1,61.72,61.7585
269,5,5,2,60.97,61.177
642,5,5,3,60.35,60.547
1176,5,5,4,61.04,61.439
1722,5,5,5,60.61,61.41
2223,5,5,6,61.07,61.34
2430,5,5,7,65.19,65.3165
2530,5,5,A,63.99,63.99
2888,5,5,C,60.12,60.594
3214,5,5,D,61.57,61.846
3663,5,5,E,61.45,61.6
4090,5,5,F,60.9,61.175
4547,5,5,H,63.69,63.69
643,7.45,5,3,92.98,92.98
1177,7.45,5,4,89.99,90.143
1723,7.45,5,5,89.98,90.82
2224,7.45,5,6,90.72,90.737
2431,7.45,5,7,97.59,97.59
2889,7.45,5,C,93.45,93.793
3215,7.45,5,D,91.29,92.1315
3664,7.45,5,E,91.01,91.356
4091,7.45,5,F,92.89,93.144
4395,7.45,5,G,92.76,92.76
4548,7.45,5,H,92.98,92.98
644,8.45,5,3,104.89,104.947
1178,8.45,5,4,103.06,103.23
1724,8.45,5,5,104.03,104.39
2225,8.45,5,6,103.97,104.7375
2890,8.45,5,C,103.27,103.646
3216,8.45,5,D,103.8,104.655
3665,8.45,5,E,106.83,107.035
4092,8.45,5,F,107.12,107.135
4396,8.45,5,G,105.3,105.5505
4549,8.45,5,H,107.22,107.22
645,9.94,5,3,123.9,123.94
1179,9.94,5,4,122.18,122.494
1725,9.94,5,5,121.79,122.966
2226,9.94,5,6,122.15,123.0265
2432,9.94,5,7,129.52,129.52
2891,9.94,5,C,124.25,124.481
3217,9.94,5,D,123.88,124.219
3666,9.94,5,E,123.79,124.671
4093,9.94,5,F,124.85,125.8805
4550,9.94,5,H,126.29,126.29
3218,11.98,5,D,155.3,155.3705
3667,11.98,5,E,154.48,154.507
4094,11.98,5,F,155.42,155.5
4397,11.98,5,G,162.54,163.192
646,12.07,5,3,160.14,160.14
1180,12.07,5,4,155.23,155.41
1726,12.07,5,5,154.88,155.1525
2227,12.07,5,6,155.7,156.381
2433,12.07,5,7,164.29,164.29
3219,12.07,5,D,157.84,157.84
3668,12.07,5,E,155.63,156.014
4095,12.07,5,F,156.71,156.9775
4398,12.07,5,G,158.57,158.8785
4551,12.07,5,H,158.26,158.26
1181,16.16,5,4,210.72,211.098
1727,16.16,5,5,213.64,215.983
2228,16.16,5,6,216.36,216.5325
2892,16.16,5,C,213.61,213.61
3220,16.16,5,D,216.87,217.214
3669,16.16,5,E,213.31,213.3685
4096,16.16,5,F,217.45,217.966
647,5.27,6,3,64.51,64.51
1182,5.27,6,4,59.51,59.983
1728,5.27,6,5,59.8,60.808
2229,5.27,6,6,60.29,61.019
2434,5.27,6,7,61.48,61.559
3221,5.27,6,D,60.86,60.956
3670,5.27,6,E,59.23,60.51
4097,5.27,6,F,60.05,60.596
4552,5.27,6,H,65.49,65.49
270,5.97,6,2,71.98,71.98
648,5.97,6,3,72.69,72.69
1183,5.97,6,4,67.41,67.997
1729,5.97,6,5,67.47,68.256
2230,5.97,6,6,68.93,69.31
2435,5.97,6,7,70.16,70.196
2893,5.97,6,C,68.28,68.28
3222,5.97,6,D,67.3,67.5575
3671,5.97,6,E,68.52,68.9995
4098,5.97,6,F,67.74,67.839
4399,5.97,6,G,69.38,69.456
649,6.95,6,3,81.24,81.335
1184,6.95,6,4,81,81.16
1730,6.95,6,5,80.49,81.38
2231,6.95,6,6,80.16,81.461
2436,6.95,6,7,82.57,82.664
3223,6.95,6,D,80.57,80.856
3672,6.95,6,E,80.41,80.9225
4099,6.95,6,F,80.69,80.69
4400,6.95,6,G,79.42,80.3195
4553,6.95,6,H,87.5,87.5
650,7.97,6,3,92.4,92.839
1185,7.97,6,4,92.27,92.45
1731,7.97,6,5,91.8,92.5
2232,7.97,6,6,92.42,93.9
2437,7.97,6,7,94.62,94.711
2894,7.97,6,C,90.89,91.572
3224,7.97,6,D,92.65,92.8735
3673,7.97,6,E,92.45,92.496
4100,7.97,6,F,93.54,93.81
4401,7.97,6,G,93.58,93.7
4554,7.97,6,H,102.5,102.527
651,9.95,6,3,127.03,127.1445
1186,9.95,6,4,119.99,120.648
1732,9.95,6,5,120.02,120.916
2233,9.95,6,6,119.53,121.188
2438,9.95,6,7,122.38,122.5345
2531,9.95,6,A,118.6,118.648
3225,9.95,6,D,121.24,121.27
3674,9.95,6,E,119.66,120.2905
4101,9.95,6,F,119,120.868
4402,9.95,6,G,120.53,120.788
652,11.89,6,3,149.25,149.537
1187,11.89,6,4,149.95,150.049
1733,11.89,6,5,148.26,149.759
2234,11.89,6,6,147.73,150.708
2439,11.89,6,7,152.59,152.662
3226,11.89,6,D,148.29,148.7025
3675,11.89,6,E,148.18,149.216
4102,11.89,6,F,149.37,150.3895
4403,11.89,6,G,148.9,149.327
4555,11.89,6,H,160.44,160.44
1188,5,7,4,59.21,59.642
1734,5,7,5,60.32,60.4475
2235,5,7,6,60.03,60.043
2440,5,7,7,60.83,60.83
3227,5,7,D,58.89,58.971
3676,5,7,E,59.1,59.2815
4103,5,7,F,59.94,60.039
1189,5.88,7,4,70.83,71.004
1735,5.88,7,5,71.53,71.7715
2236,5.88,7,6,72.5,72.691
3677,5.88,7,E,71.73,71.782
4104,5.88,7,F,73.33,73.369
3678,5.94,7,E,72.33,72.381
4105,5.94,7,F,74.44,74.446
1190,6.87,7,4,84.8,85.871
1736,6.87,7,5,84.85,86.0145
2237,6.87,7,6,85.59,85.8665
2441,6.87,7,7,87.2,87.2
3228,6.87,7,D,85.68,85.775
3679,6.87,7,E,84.11,84.446
4106,6.87,7,F,86.07,86.1555
3229,6.94,7,D,86.94,86.9425
3680,6.94,7,E,85.91,86.006
4107,6.94,7,F,85.83,85.9665
653,7.91,7,3,98.7,98.902
1191,7.91,7,4,97.69,98.429
1737,7.91,7,5,97.34,98.232
2238,7.91,7,6,99.32,99.49
2442,7.91,7,7,100.05,100.0745
3230,7.91,7,D,98.08,98.2175
3681,7.91,7,E,97.4,97.457
4108,7.91,7,F,98.88,98.978
3231,7.97,7,D,98.98,99.149
3682,7.97,7,E,99.49,99.492
4109,7.97,7,F,101.32,101.32
654,9.28,7,3,115.07,115.07
1192,9.28,7,4,114.83,115.1
1738,9.28,7,5,114.68,115.3585
2239,9.28,7,6,117.06,117.137
3232,9.28,7,D,115.67,115.748
3683,9.28,7,E,114.15,114.53
655,11.49,7,3,143.22,143.395
1193,11.49,7,4,142,142.225
1739,11.49,7,5,149.44,149.44
2240,11.49,7,6,143.02,143.536
656,11.94,7,3,149.13,149.13
1194,11.94,7,4,152.27,152.447
1740,11.94,7,5,158.97,158.97
2241,11.94,7,6,150.06,150.195
2443,11.94,7,7,152.26,152.26
3233,11.94,7,D,149.04,149.334
3684,11.94,7,E,153.7,153.769
4110,11.94,7,F,151.51,151.693
3234,12,7,D,150.9,150.9
3685,12,7,E,152.64,152.7935
4111,12,7,F,152.7,152.9975
657,14.15,7,3,194.4,194.4
1195,14.15,7,4,184.95,185.1165
1741,14.15,7,5,188.33,188.6225
2242,14.15,7,6,185.98,186.3615
3235,14.15,7,D,182.75,183.185
3686,14.15,7,E,185.09,185.403
4112,14.15,7,F,186.61,187.0705
658,16,7,3,235.3,238.2495
1196,16,7,4,237.87,241.181
1742,16,7,5,265.88,266.862
3687,16,7,E,242.71,244.628
271,17,7,2,269.99,269.99
659,17,7,3,254.8,254.885
1197,17,7,4,245.2,252.58
1743,17,7,5,253.3,254.62
3236,17,7,D,256.6,257.208
3688,17,7,E,246.36,251.63
4113,17,7,F,272.05,272.425
1198,17.24,7,4,227.57,227.6015
1744,17.24,7,5,234.33,234.33
2243,17.24,7,6,231.09,231.587
4114,17.24,7,F,227.72,228.172
660,19.5,7,3,307.3,307.3
1199,19.5,7,4,284.7,287.687
1745,19.5,7,5,303.4,303.89
25,20,7,1,307.3,307.3
272,20,7,2,300.69,300.69
661,20,7,3,306.2,309.252
1200,20,7,4,297.2,301.002
1746,20,7,5,293.66,296.21
3237,20,7,D,296,301.89
