,racecourse,disttext,raceclass,count
3200,43,1m,6,7
3259,44,1m,D,7
3292,44,5f,5,7
3300,44,6f,6,7
3313,44,6f 212yds,E,7
3325,45,1m 14yds,E,7
3353,45,2m 110yds,2,7
3365,45,2m4f,4,7
3375,45,2m6f,1,7
3380,45,2m6f,D,7
3384,45,2m 78yds,A,7
3395,45,5f 6yds,2,7
3417,46,2m1f,3,7
3453,46,3m3f 110yds,G,7
3505,47,1m6f,H,7
3550,47,3m 110yds,F,7
3556,47,3m2f,E,7
3622,48,2m4f,5,7
3639,48,3m3f,4,7
3672,49,2m3f 110yds,G,7
3694,50,1m2f,5,7
3699,50,1m4f,6,7
3736,50,6f,4,7
3799,52,2m 110yds,5,7
3806,52,2m3f 110yds,F,7
3824,52,3m,F,7
3846,53,2m4f 110yds,B,7
3847,53,2m4f 110yds,C,7
3874,53,3m 110yds,D,7
3903,54,1m2f 188yds,G,7
3910,54,1m4f 134yds,E,7
3948,54,2m 39yds,F,7
3980,54,3m2f,4,7
3990,54,5f,E,7
4007,54,6f 21yds,5,7
4036,55,2m 110yds,1,7
4049,55,2m4f 110yds,1,7
4188,57,6f,F,7
4231,58,1m5f 194yds,3,7
4241,58,2m,E,7
4261,58,5f,C,7
4266,58,5f,H,7
4268,58,5f 20yds,2,7
4288,58,7f,C,7
4306,59,2m,D,7
4338,59,3m,C,7
4374,60,1m6f 175yds,3,7
4404,60,7f,C,7
4406,60,7f,E,7
4410,61,1m1f,6,7
4420,61,1m2f 21yds,D,7
4474,61,6f 3yds,D,7
4528,62,1m3f 198yds,C,7
4571,62,2m 88yds,4,7
4575,62,5f,4,7
4578,62,5f,C,7
4590,62,6f,A,7
4593,62,6f,D,7
8,1,1m,D,6
49,1,2m3f 110yds,4,6
78,1,3m1f,1,6
95,1,6f,C,6
100,1,7f,4,6
143,2,1m2f 192yds,E,6
157,2,1m7f,4,6
168,2,2m,A,6
169,2,2m,B,6
170,2,2m,C,6
196,2,2m6f,B,6
211,2,5f,2,6
243,2,7f 50yds,F,6
250,3,2m1f,C,6
268,3,2m4f,G,6
313,4,1m 5yds,1,6
315,4,1m 5yds,3,6
332,4,2m1f 34yds,D,6
353,4,5f 161yds,F,6
365,5,1m1f 207yds,3,6
386,5,1m4f 16yds,F,6
448,6,5f 213yds,D,6
479,6,7f 214yds,F,6
483,7,1m1f 61yds,4,6
505,7,1m6f 32yds,5,6
507,7,1m6f 32yds,D,6
577,7,6f 192yds,D,6
588,7,7f 200yds,D,6
629,9,1m5f 175yds,D,6
631,9,1m5f 175yds,F,6
643,9,2m,D,6
673,9,5f 212yds,G,6
695,10,2m 110yds,E,6
704,10,2m4f,2,6
719,10,2m5f,E,6
736,10,3m1f 110yds,2,6
752,11,1m 14yds,F,6
772,11,2m 110yds,2,6
791,11,2m3f 110yds,D,6
813,11,3m,C,6
818,11,3m5f 110yds,1,6
871,12,5f 16yds,1,6
886,12,6f 18yds,A,6
900,12,7f 2yds,5,6
904,13,2m1f,1,6
929,13,2m3f,G,6
937,13,2m5f 110yds,3,6
953,13,2m7f 110yds,D,6
987,14,1m2f 60yds,E,6
991,14,1m4f,3,6
1014,14,2m 110yds,6,6
1046,14,3m,4,6
1047,14,3m 110yds,1,6
1085,14,7f,A,6
1175,15,3m 110yds,3,6
1239,16,5f,B,6
1240,16,5f,C,6
1248,16,6f,E,6
1269,17,2m4f,3,6
1283,17,2m7f 110yds,D,6
1287,17,3m 110yds,4,6
1299,18,1m4f,4,6
1324,18,2m4f 110yds,5,6
1327,18,2m4f 110yds,E,6
1362,18,6f,E,6
1405,19,2m6f 110yds,3,6
1411,19,2m6f 110yds,G,6
1443,20,1m1f,E,6
1464,20,1m4f,C,6
1498,20,5f,D,6
1521,21,1m1f 36yds,3,6
1589,22,1m,1,6
1662,22,1m6f,C,6
1678,22,2m 110yds,3,6
1696,22,2m4f,F,6
1705,22,2m6f,D,6
1804,24,2m,F,6
1842,25,2m 110yds,C,6
1856,25,2m4f 110yds,F,6
1872,25,3m2f,D,6
1902,26,2m2f,E,6
1905,26,2m6f 110yds,2,6
1909,26,2m6f 110yds,B,6
1914,26,2m7f 110yds,3,6
1918,26,3m1f,3,6
1924,26,3m3f,5,6
1985,27,2m,7,6
2011,27,3m 110yds,1,6
2015,27,3m 110yds,A,6
2069,28,1m5f 66yds,6,6
2080,28,5f,5,6
2084,28,6f,4,6
2095,29,1m3f 183yds,3,6
2138,29,2m4f 110yds,G,6
2157,29,5f 2yds,E,6
2166,29,7f 9yds,C,6
2194,30,1m 1yds,6,6
2264,30,2m 110yds,3,6
2273,30,2m3f 110yds,5,6
2283,30,2m4f 110yds,5,6
2330,30,6f 1yds,5,6
2345,30,7f,G,6
2359,30,7f 1yds,6,6
2362,31,2m,3,6
2386,31,2m4f,E,6
2441,33,2m1f 110yds,2,6
2481,33,2m5f 110yds,G,6
2487,33,2m6f,E,6
2509,33,3m5f,4,6
2524,34,1m1f,B,6
2534,34,1m2f 6yds,A,6
2535,34,1m2f 6yds,B,6
2591,34,2m3f,3,6
2602,34,2m5f,4,6
2612,34,3m,2,6
2618,34,3m 110yds,A,6
2621,34,3m 110yds,D,6
2671,35,1m1f 9yds,D,6
2693,35,1m4f 93yds,4,6
2702,35,1m6f 97yds,D,6
2705,35,2m,1,6
2710,35,2m,A,6
2736,35,2m4f,D,6
2743,35,3m,1,6
2794,36,1m,D,6
2819,36,1m4f,E,6
2860,37,2m 110yds,3,6
2879,37,2m3f,F,6
2881,37,2m5f 110yds,1,6
2909,38,1m1f 213yds,3,6
2924,38,1m 54yds,2,6
2934,38,1m 54yds,G,6
2982,39,2m,3,6
3005,39,3m,5,6
3045,40,2m5f,G,6
3049,40,3m1f 110yds,D,6
3077,41,1m 4yds,3,6
3080,41,1m 4yds,6,6
3171,42,5f,D,6
3212,43,1m1f 170yds,6,6
3236,43,5f,4,6
3240,43,5f,E,6
3284,44,1m6f 15yds,D,6
3308,44,6f 212yds,4,6
3328,45,1m1f,C,6
3348,45,2m,3,6
3350,45,2m,A,6
3361,45,2m3f 110yds,2,6
3378,45,2m6f,A,6
3489,47,1m4f,C,6
3496,47,1m6f,3,6
3504,47,1m6f,G,6
3531,47,2m4f 110yds,D,6
3542,47,2m5f 110yds,G,6
3607,48,2m1f 110yds,2,6
3610,48,2m1f 110yds,5,6
3615,48,2m3f,C,6
3616,48,2m3f,D,6
3618,48,2m3f,F,6
3643,48,3m4f,3,6
3654,49,2m1f,C,6
3658,49,2m3f,3,6
3668,49,2m3f 110yds,C,6
3693,50,1m2f,4,6
3710,50,2m3f 110yds,4,6
3711,50,2m3f 110yds,5,6
3719,50,2m6f,3,6
3726,50,3m1f 110yds,2,6
3750,51,1m4f,3,6
3756,51,1m4f,E,6
3761,51,2m,D,6
3763,51,2m,F,6
3770,51,5f,E,6
3780,51,6f,F,6
3813,52,2m5f,F,6
3828,53,2m,2,6
3833,53,2m,C,6
3840,53,2m4f,5,6
3841,53,2m4f 110yds,2,6
3861,53,2m6f 110yds,C,6
3865,53,2m6f 110yds,G,6
3921,54,1m6f 213yds,6,6
3944,54,2m 39yds,4,6
3946,54,2m 39yds,D,6
3951,54,2m3f,5,6
3961,54,2m4f 110yds,E,6
3973,54,3m 110yds,4,6
4011,54,6f 21yds,E,6
4014,54,7f 164yds,D,6
4021,54,7f 26yds,C,6
4063,55,2m6f 110yds,4,6
4066,55,2m7f,4,6
4082,55,3m1f,A,6
4122,56,3m3f 110yds,3,6
4154,57,1m 67yds,A,6
4166,57,2m4f,E,6
4189,58,1m 100yds,B,6
4217,58,1m4f,C,6
4325,59,2m4f 110yds,3,6
4348,60,1m,A,6
4363,60,1m4f,2,6
4373,60,1m5f,5,6
4431,61,1m3f 101yds,F,6
4464,61,5f 43yds,C,6
4482,61,7f 3yds,C,6
4505,62,1m2f 85yds,A,6
4516,62,1m2f 88yds,B,6
4520,62,1m3f 195yds,A,6
4537,62,1m5f 194yds,A,6
4568,62,2m 88yds,1,6
4583,62,5f 89yds,2,6
4608,62,6f 3yds,B,6
4618,62,7f 202yds,D,6
53,1,2m 45yds,A,5
64,1,2m5f 110yds,2,5
65,1,2m5f 110yds,3,5
69,1,2m6f 34yds,B,5
73,1,3m,4,5
83,1,5f,3,5
85,1,5f,A,5
87,1,5f,C,5
103,1,7f,C,5
114,2,1m,F,5
134,2,1m2f,A,5
176,2,2m1f 105yds,4,5
187,2,2m4f,F,5
218,2,5f,C,5
220,2,5f,E,5
232,2,7f,C,5
233,2,7f,D,5
242,2,7f 50yds,E,5
260,3,2m1f 110yds,E,5
296,4,1m2f 46yds,G,5
305,4,1m3f 144yds,F,5
311,4,1m5f 22yds,D,5
322,4,1m 5yds,C,5
340,4,5f 11yds,A,5
346,4,5f 161yds,3,5
359,5,1m 100yds,C,5
377,5,1m3f 216yds,F,5
393,5,2m 35yds,D,5
418,5,7f 100yds,F,5
451,6,5f 213yds,G,5
487,7,1m1f 61yds,E,5
513,7,2m,E,5
524,7,2m1f 52yds,F,5
540,7,2m5f,3,5
543,7,3m 110yds,2,5
566,7,5f 193yds,4,5
569,7,5f 193yds,E,5
583,7,7f 200yds,3,5
590,7,7f 200yds,F,5
604,8,2m5f 110yds,5,5
610,8,2m6f,F,5
614,8,3m2f,5,5
616,8,3m2f,E,5
623,9,1m3f 214yds,E,5
665,9,5f,E,5
686,10,2m,A,5
687,10,2m,C,5
703,10,2m4f,1,5
715,10,2m5f,A,5
738,10,3m1f 110yds,A,5
759,11,1m2f 36yds,A,5
763,11,1m2f 36yds,F,5
766,11,1m4f 23yds,4,5
769,11,1m4f 23yds,D,5
777,11,2m 110yds,C,5
781,11,2m 110yds,G,5
786,11,2m3f 110yds,2,5
806,11,2m4f,G,5
825,11,6f 16yds,2,5
831,11,6f 16yds,E,5
846,12,1m2f 75yds,A,5
847,12,1m2f 75yds,C,5
856,12,1m4f 66yds,C,5
860,12,1m5f 89yds,3,5
861,12,1m5f 89yds,4,5
863,12,1m7f 195yds,3,5
877,12,5f 16yds,A,5
878,12,5f 16yds,B,5
879,12,5f 16yds,C,5
895,12,7f 122yds,E,5
902,12,7f 2yds,C,5
939,13,2m5f 110yds,5,5
958,13,3m 110yds,3,5
975,14,1m,C,5
996,14,1m4f,C,5
998,14,1m4f,E,5
1024,14,2m2f,C,5
1040,14,2m4f,C,5
1044,14,3m,2,5
1053,14,3m 110yds,B,5
1065,14,5f,F,5
1079,14,6f 110yds,2,5
1132,15,1m6f,2,5
1172,15,3m,F,5
1179,15,3m 110yds,E,5
1229,16,1m4f 10yds,A,5
1230,16,1m4f 10yds,B,5
1237,16,5f,4,5
1238,16,5f,A,5
1247,16,6f,D,5
1263,17,2m,F,5
1266,17,2m 110yds,4,5
1267,17,2m 110yds,5,5
1275,17,2m4f,G,5
1278,17,2m5f 110yds,5,5
1285,17,2m7f 110yds,F,5
1303,18,1m4f,D,5
1316,18,2m1f 110yds,3,5
1339,18,2m 93yds,5,5
1352,18,5f,D,5
1364,18,6f,G,5
1391,19,2m4f,2,5
1401,19,2m4f,G,5
1447,20,1m1f 192yds,3,5
1448,20,1m1f 192yds,4,5
1451,20,1m1f 192yds,B,5
1462,20,1m4f,A,5
1484,20,2m,A,5
1486,20,2m,E,5
1491,20,5f,2,5
1496,20,5f,A,5
1513,20,7f,3,5
1542,21,1m4f 17yds,C,5
1590,22,1m,2,5
1600,22,1m2f 120yds,1,5
1602,22,1m2f 120yds,3,5
1611,22,1m2f 120yds,G,5
1618,22,1m2f 95yds,1,5
1619,22,1m2f 95yds,2,5
1638,22,1m3f 200yds,3,5
1642,22,1m3f 200yds,B,5
1685,22,2m 45yds,C,5
1708,22,2m7f 110yds,2,5
1715,22,2m7f 110yds,E,5
1721,22,3m1f,1,5
1733,22,5f,B,5
1747,22,6f,F,5
1749,22,7f,2,5
1784,23,2m4f,3,5
1811,24,2m 110yds,D,5
1894,26,2m2f,2,5
1915,26,2m7f 110yds,4,5
1936,27,1m,B,5
1941,27,1m1f,C,5
1994,27,2m4f 110yds,2,5
2007,27,3m,2,5
2027,27,5f,A,5
2073,28,1m6f,5,5
2081,28,5f,6,5
2219,30,1m3f 106yds,G,5
2242,30,1m5f,D,5
2245,30,1m5f,G,5
2259,30,2m,D,5
2268,30,2m 110yds,D,5
2269,30,2m 110yds,E,5
2271,30,2m3f 110yds,3,5
2288,30,2m7f,D,5
2289,30,2m7f,E,5
2321,30,6f,C,5
2339,30,7f,A,5
2354,30,7f 140yds,E,5
2374,31,2m 110yds,E,5
2451,33,2m2f,3,5
2473,33,2m5f,2,5
2478,33,2m5f 110yds,D,5
2488,33,2m6f,F,5
2491,33,2m6f 110yds,2,5
2516,34,1m,A,5
2538,34,1m2f 6yds,E,5
2566,34,1m 7yds,4,5
2592,34,2m3f,4,5
2593,34,2m3f,C,5
2594,34,2m3f,D,5
2632,34,5f 34yds,B,5
2641,34,6f 8yds,5,5
2642,34,6f 8yds,A,5
2645,34,6f 8yds,D,5
2652,34,7f,A,5
2653,34,7f,B,5
2672,35,1m1f 9yds,E,5
2683,35,1m2f 32yds,G,5
2690,35,1m 3yds,D,5
2697,35,1m4f 93yds,E,5
2701,35,1m6f 97yds,5,5
2726,35,2m 19yds,B,5
2731,35,2m4f,3,5
2740,35,2m6f,2,5
2758,35,5f,B,5
2770,35,6f,A,5
2773,35,6f,D,5
2791,36,1m,5,5
2847,36,6f,C,5
2853,36,7f,A,5
2886,37,2m5f 110yds,E,5
2933,38,1m 54yds,F,5
2948,38,1m6f 15yds,F,5
2952,38,1m 75yds,3,5
2958,38,2m 9yds,6,5
3004,39,3m,4,5
3028,40,2m1f,D,5
3036,40,2m4f,E,5
3092,41,2m1f 216yds,D,5
3093,41,2m1f 216yds,E,5
3101,41,2m5f 122yds,E,5
3109,41,5f,F,5
3113,41,6f,4,5
3116,41,6f,A,5
3128,42,1m,F,5
3143,42,1m2f,B,5
3144,42,1m2f,C,5
3147,42,1m2f,F,5
3165,42,2m 4yds,F,5
3166,42,5f,3,5
3183,42,6f,G,5
3204,43,1m,F,5
3213,43,1m2f,C,5
3215,43,1m2f,E,5
3216,43,1m2f,F,5
3248,43,6f,B,5
3257,44,1m,A,5
3258,44,1m,C,5
3264,44,1m1f 198yds,3,5
3267,44,1m1f 198yds,A,5
3307,44,6f 212yds,3,5
3337,45,1m2f 7yds,B,5
3344,45,1m6f,C,5
3370,45,2m4f 110yds,A,5
3379,45,2m6f,C,5
3390,45,3m 110yds,1,5
3400,45,5f 6yds,B,5
3406,45,7f 16yds,3,5
3408,45,7f 16yds,5,5
3426,46,2m2f 110yds,5,5
3524,47,2m1f,G,5
3553,47,3m2f,4,5
3554,47,3m2f,5,5
3555,47,3m2f,D,5
3625,48,2m5f 110yds,5,5
3637,48,2m7f,5,5
3640,48,3m3f,D,5
3695,50,1m2f,6,5
3697,50,1m4f,4,5
3709,50,2m3f 110yds,3,5
3727,50,3m1f 110yds,3,5
3732,50,5f,5,5
3785,51,7f,C,5
3788,51,7f,F,5
3802,52,2m3f 110yds,3,5
3862,53,2m6f 110yds,D,5
3869,53,3m,D,5
3892,54,1m2f 110yds,F,5
3895,54,1m2f 188yds,3,5
3900,54,1m2f 188yds,D,5
3912,54,1m4f 134yds,G,5
3933,54,2m,5,5
3947,54,2m 39yds,E,5
4010,54,6f 21yds,D,5
4026,55,2m,2,5
4054,55,2m4f 110yds,B,5
4055,55,2m4f 110yds,C,5
4065,55,2m7f,3,5
4121,56,3m3f 110yds,2,5
4130,57,1m2f 7yds,A,5
4139,57,1m3f 135yds,3,5
4377,60,1m6f 175yds,C,5
4402,60,7f,A,5
4408,61,1m1f,4,5
4424,61,1m3f 101yds,3,5
4439,61,1m 3yds,E,5
4541,62,1m5f 197yds,1,5
4548,62,1m5f 197yds,C,5
4572,62,5f,1,5
4588,62,6f,3,5
4622,62,7f 205yds,B,5
32,1,2m,B,4
55,1,2m 45yds,C,4
67,1,2m6f,2,4
71,1,3m,2,4
74,1,3m,A,4
77,1,3m,D,4
80,1,3m1f 110yds,A,4
92,1,6f,4,4
125,2,1m1f 20yds,D,4
127,2,1m1f 20yds,F,4
142,2,1m2f 192yds,A,4
152,2,1m5f 13yds,F,4
160,2,1m7f,C,4
162,2,1m7f,F,4
173,2,2m,F,4
178,2,2m1f 105yds,D,4
219,2,5f,D,4
223,2,6f,3,4
258,3,2m1f 110yds,5,4
281,3,3m,F,4
285,3,3m 110yds,C,4
289,4,1m2f 46yds,3,4
298,4,1m3f 144yds,3,4
308,4,1m5f 22yds,4,4
325,4,1m 5yds,F,4
362,5,1m 100yds,F,4
363,5,1m 100yds,G,4
370,5,1m1f 207yds,C,4
395,5,2m 35yds,F,4
425,6,1m1f 209yds,7,4
427,6,1m1f 209yds,D,4
495,7,1m3f 206yds,6,4
504,7,1m6f 32yds,4,4
509,7,1m6f 32yds,F,4
517,7,2m1f,5,4
546,7,3m 110yds,5,4
564,7,5f,E,4
565,7,5f,F,4
570,7,5f 193yds,F,4
579,7,6f 192yds,F,4
615,8,3m2f,D,4
637,9,1m7f 177yds,E,4
656,9,3m1f 110yds,D,4
699,10,2m1f,A,4
702,10,2m1f,D,4
729,10,3m,D,4
784,11,2m2f,D,4
794,11,2m 49yds,F,4
817,11,3m2f 110yds,5,4
829,11,6f 16yds,C,4
836,11,7f 16yds,C,4
849,12,1m2f 75yds,E,4
850,12,1m3f 79yds,4,4
883,12,6f 18yds,3,4
894,12,7f 122yds,D,4
919,13,2m1f 110yds,C,4
933,13,2m3f 110yds,5,4
936,13,2m3f 110yds,E,4
948,13,2m7f,E,4
949,13,2m7f 110yds,2,4
977,14,1m,E,4
1005,14,1m6f 132yds,A,4
1006,14,1m6f 132yds,B,4
1007,14,1m6f 132yds,C,4
1010,14,2m 110yds,2,4
1023,14,2m2f,A,4
1045,14,3m,3,4
1052,14,3m 110yds,A,4
1059,14,5f,3,4
1069,14,5f 140yds,B,4
1086,14,7f,B,4
1113,15,1m4f,3,4
1126,15,1m5f,4,4
1138,15,1m6f,D,4
1195,15,7f 30yds,2,4
1211,16,1m 114yds,B,4
1232,16,1m4f 10yds,D,4
1254,16,7f,A,4
1265,17,2m 110yds,3,4
1315,18,2m,F,4
1326,18,2m4f 110yds,D,4
1375,19,2m2f,3,4
1395,19,2m4f,A,4
1420,19,3m3f,E,4
1453,20,1m1f 192yds,E,4
1463,20,1m4f,B,4
1466,20,1m4f,E,4
1469,20,1m6f,3,4
1471,20,1m6f,5,4
1475,20,1m6f,C,4
1480,20,2m,3,4
1485,20,2m,D,4
1489,20,2m5f,C,4
1495,20,5f,6,4
1537,21,1m4f 17yds,3,4
1569,21,5f 4yds,1,4
1584,21,6f 5yds,B,4
1585,21,6f 5yds,C,4
1601,22,1m2f 120yds,2,4
1606,22,1m2f 120yds,A,4
1659,22,1m6f,3,4
1684,22,2m 45yds,4,4
1707,22,2m7f 110yds,1,4
1714,22,2m7f 110yds,D,4
1720,22,3m,4,4
1754,22,7f 30yds,3,4
1755,22,7f 30yds,5,4
1758,22,7f 30yds,D,4
1759,22,7f 30yds,E,4
1765,23,2m,F,4
1779,23,2m3f 110yds,5,4
1788,23,2m5f 110yds,4,4
1802,24,2m,D,4
1831,24,3m1f,3,4
1832,24,3m1f,4,4
1852,25,2m4f 110yds,B,4
1883,26,2m 110yds,C,4
1923,26,3m3f,3,4
1952,27,1m2f,B,4
1970,27,1m4f,A,4
1991,27,2m,F,4
1998,27,2m5f,1,4
2014,27,3m 110yds,4,4
2017,27,3m 110yds,C,4
2022,27,5f,3,4
2041,27,7f,1,4
2079,28,5f,4,4
2100,29,1m3f 183yds,A,4
2101,29,1m3f 183yds,C,4
2121,29,1m 9yds,E,4
2147,29,5f 218yds,D,4
2153,29,5f 2yds,6,4
2155,29,5f 2yds,C,4
2156,29,5f 2yds,D,4
2170,29,7f 9yds,G,4
2193,30,1m 1yds,5,4
2246,30,1m5f,H,4
2248,30,1m6f,D,4
2250,30,1m7f 169yds,5,4
2262,30,2m,G,4
2291,30,3m,1,4
2292,30,3m,3,4
2309,30,5f,H,4
2358,30,7f 1yds,5,4
2372,31,2m 110yds,C,4
2383,31,2m4f,B,4
2396,31,3m 110yds,C,4
2400,31,3m1f,3,4
2489,33,2m6f,G,4
2498,33,3m,C,4
2544,34,1m3f 5yds,A,4
2564,34,1m5f 61yds,D,4
2582,34,2m 110yds,E,4
2590,34,2m3f,2,4
2607,34,2m5f,E,4
2610,34,2m6f 110yds,D,4
2631,34,5f 34yds,A,4
2657,34,7f 64yds,A,4
2727,35,2m 19yds,D,4
2734,35,2m4f,B,4
2749,35,3m,C,4
2759,35,5f,C,4
2762,35,5f,F,4
2766,35,6f,3,4
2799,36,1m1f,B,4
2801,36,1m2f,2,4
2832,36,2m2f,B,4
2838,36,5f,B,4
2856,36,7f,D,4
2859,37,2m 110yds,2,4
2878,37,2m3f,E,4
2925,38,1m 54yds,3,4
2959,38,2m 9yds,D,4
2971,38,6f 15yds,3,4
2976,38,6f 15yds,A,4
3060,41,1m2f 6yds,6,4
3074,41,1m4f 8yds,F,4
3082,41,1m 4yds,B,4
3099,41,2m1f 22yds,F,4
3152,42,1m3f,F,4
3158,42,1m6f 19yds,D,4
3161,42,2m 4yds,5,4
3172,42,5f,E,4
3194,42,7f,F,4
3195,42,7f,G,4
3232,43,2m,C,4
3271,44,1m1f 198yds,F,4
3295,44,5f,E,4
3311,44,6f 212yds,C,4
3314,44,6f 212yds,F,4
3340,45,1m2f 7yds,E,4
3358,45,2m 110yds,C,4
3367,45,2m4f 110yds,2,4
3369,45,2m4f 110yds,4,4
3376,45,2m6f,2,4
3386,45,2m 78yds,D,4
3411,45,7f 16yds,D,4
3415,46,2m 110yds,E,4
3445,46,3m3f,4,4
3449,46,3m3f 110yds,5,4
3450,46,3m3f 110yds,D,4
3468,47,1m2f,E,4
3470,47,1m3f,2,4
3526,47,2m4f 110yds,2,4
3541,47,2m5f 110yds,F,4
3548,47,3m 110yds,D,4
3552,47,3m2f,3,4
3559,47,5f,1,4
3570,47,5f,G,4
3598,48,2m 110yds,2,4
3663,49,2m3f,F,4
3673,49,2m7f 110yds,3,4
3753,51,1m4f,6,4
3760,51,2m,C,4
3771,51,5f,F,4
3805,52,2m3f 110yds,E,4
3845,53,2m4f 110yds,A,4
3856,53,2m6f 110yds,2,4
3881,54,1m 22yds,4,4
3887,54,1m 22yds,F,4
3909,54,1m4f 134yds,D,4
3923,54,1m6f 213yds,E,4
3936,54,2m,C,4
3962,54,2m5f,1,4
3968,54,2m5f,B,4
3991,54,5f,F,4
3994,54,5f 110yds,6,4
3997,54,5f 110yds,E,4
4005,54,6f 168yds,D,4
4031,55,2m,B,4
4041,55,2m3f 110yds,3,4
4064,55,2m6f 110yds,5,4
4068,55,2m7f,C,4
4070,55,2m7f,E,4
4085,55,3m1f,D,4
4086,55,3m1f,E,4
4120,56,3m1f 110yds,5,4
4126,57,1m2f 7yds,3,4
4129,57,1m2f 7yds,6,4
4132,57,1m2f 7yds,C,4
4135,57,1m2f 7yds,F,4
4143,57,1m3f 135yds,A,4
4153,57,1m 67yds,6,4
4164,57,2m4f,A,4
4175,57,5f 10yds,D,4
4183,57,6f,A,4
4243,58,2m 110yds,4,4
4254,58,2m 46yds,H,4
4304,59,2m,B,4
4333,59,3m,2,4
4359,60,1m2f,D,4
4376,60,1m6f 175yds,5,4
4390,60,6f,2,4
4418,61,1m2f 21yds,A,4
4423,61,1m2f 21yds,G,4
4433,61,1m 3yds,3,4
4444,61,1m6f 17yds,4,4
4457,61,2m,E,4
4465,61,5f 43yds,D,4
4495,62,1m 205yds,D,4
4508,62,1m2f 85yds,D,4
4515,62,1m2f 88yds,A,4
4523,62,1m3f 195yds,D,4
4526,62,1m3f 198yds,A,4
4542,62,1m5f 197yds,2,4
4544,62,1m5f 197yds,4,4
4546,62,1m5f 197yds,A,4
4554,62,1m6f,4,4
4560,62,2m2f,3,4
4610,62,6f 3yds,D,4
12,1,1m2f,4,3
50,1,2m3f 110yds,A,3
63,1,2m4f,E,3
75,1,3m,B,3
79,1,3m1f,3,3
96,1,6f 110yds,C,3
101,1,7f,A,3
164,2,2m,2,3
177,2,2m1f 105yds,5,3
189,2,2m5f,4,3
191,2,2m5f 110yds,3,3
206,2,3m 110yds,E,3
207,2,3m 110yds,F,3
208,2,3m1f,3,3
209,2,3m1f,4,3
286,3,3m6f,3,3
302,4,1m3f 144yds,C,3
304,4,1m3f 144yds,E,3
320,4,1m 5yds,A,3
336,4,5f 11yds,3,3
355,5,1m 100yds,3,3
431,6,1m3f 196yds,3,3
456,6,5f 59yds,7,3
461,6,6f 209yds,3,3
465,6,6f 209yds,7,3
471,6,7f 214yds,3,3
475,6,7f 214yds,7,3
476,6,7f 214yds,C,3
486,7,1m1f 61yds,D,3
488,7,1m3f 107yds,3,3
493,7,1m3f 206yds,4,3
497,7,1m3f 206yds,D,3
498,7,1m3f 206yds,E,3
508,7,1m6f 32yds,E,3
512,7,2m,5,3
520,7,2m1f,F,3
538,7,2m4f 110yds,F,3
563,7,5f,D,3
571,7,5f 207yds,E,3
581,7,6f 206yds,E,3
591,7,7f 214yds,D,3
592,7,7f 214yds,E,3
599,8,2m1f 110yds,F,3
642,9,2m,C,3
660,9,5f,3,3
674,9,7f,2,3
739,10,3m1f 110yds,B,3
740,10,3m1f 110yds,C,3
741,10,3m1f 110yds,D,3
753,11,1m 14yds,G,3
760,11,1m2f 36yds,C,3
764,11,1m2f 36yds,G,3
789,11,2m3f 110yds,5,3
790,11,2m3f 110yds,A,3
802,11,2m4f,C,3
819,11,5f 16yds,3,3
822,11,5f 16yds,C,3
830,11,6f 16yds,D,3
832,11,7f 16yds,3,3
887,12,6f 18yds,D,3
903,12,7f 2yds,E,3
921,13,2m1f 110yds,E,3
942,13,2m6f 110yds,3,3
952,13,2m7f 110yds,5,3
954,13,2m7f 110yds,E,3
963,13,3m 110yds,F,3
972,14,1m,6,3
984,14,1m2f 60yds,B,3
1030,14,2m3f,E,3
1031,14,2m3f 110yds,2,3
1038,14,2m3f 110yds,F,3
1054,14,3m 110yds,E,3
1097,15,1m,7,3
1114,15,1m4f,4,3
1127,15,1m5f,5,3
1153,15,2m,G,3
1251,16,7f,3,3
1255,16,7f,C,3
1294,18,1m1f 149yds,C,3
1319,18,2m1f 110yds,D,3
1354,18,5f,F,3
1365,18,6f 189yds,D,3
1374,19,2m2f,2,3
1379,19,2m2f,F,3
1397,19,2m4f,C,3
1402,19,2m6f,3,3
1412,19,3m2f 110yds,3,3
1416,19,3m3f,3,3
1434,20,1m,F,3
1454,20,1m3f,4,3
1479,20,2m,2,3
1538,21,1m4f 17yds,4,3
1556,21,1m 65yds,2,3
1567,21,5f 200yds,E,3
1598,22,1m2f 100yds,5,3
1648,22,1m3f 205yds,5,3
1653,22,1m4f,5,3
1672,22,2m,B,3
1697,22,2m4f 110yds,2,3
1703,22,2m6f,B,3
1704,22,2m6f,C,3
1711,22,2m7f 110yds,A,3
1712,22,2m7f 110yds,B,3
1726,22,3m4f 110yds,3,3
1787,23,2m5f 110yds,3,3
1796,23,3m2f,3,3
1826,24,3m,3,3
1834,24,3m1f,E,3
1835,24,4m,3,3
1836,24,4m,4,3
1867,25,3m,D,3
1868,25,3m,E,3
1878,26,2m 110yds,2,3
1882,26,2m 110yds,B,3
1888,26,2m1f,3,3
1898,26,2m2f,A,3
1913,26,2m7f 110yds,2,3
1916,26,2m7f 110yds,5,3
1920,26,3m1f,5,3
1926,26,3m3f,F,3
1976,27,1m6f 92yds,C,3
1978,27,1m6f 92yds,E,3
1992,27,2m2f,4,3
2020,27,3m1f,D,3
2040,27,6f,E,3
2068,28,1m5f 66yds,5,3
2087,29,1m1f 218yds,3,3
