,racecourse,racetype,distance,std_time
91,6.0,1,11.89,149.3775
92,7.0,1,5.0,59.81
93,7.0,1,5.88,72.26
94,7.0,1,5.94,72.6105
95,7.0,1,6.87,85.5745
96,7.0,1,6.94,85.862
97,7.0,1,7.91,98.325
98,7.0,1,7.97,99.2095
99,7.0,1,9.28,115.244
100,7.0,1,11.49,142.4975
101,7.0,1,11.94,149.409
102,7.0,1,12.0,151.335
103,7.0,1,14.15,184.835
104,7.0,1,17.24,227.69
105,7.0,2,17.0,253.3375
106,7.0,2,19.5,290.975
107,7.0,2,20.0,300.853
108,7.0,2,20.04,292.925
109,7.0,2,20.5,316.525
110,7.0,2,24.5,362.725
111,7.0,2,25.0,374.3675
112,7.0,3,16.0,240.449
113,7.0,3,20.0,305.628
114,7.0,3,20.5,311.743
115,7.0,3,21.0,325.827
116,7.0,3,24.0,367.3865
117,7.0,3,24.5,376.5475
118,7.0,3,26.0,407.63
119,7.0,3,28.0,448.2575
120,7.0,4,14.0,210.58
121,7.0,4,17.0,250.008
122,8.0,2,17.21,240.93
123,8.0,2,17.5,244.578
124,8.0,2,22.0,315.57
125,8.0,2,22.14,316.04
126,8.0,2,26.0,366.083
127,8.0,3,17.5,252.0915
128,8.0,3,21.15,310.53
129,8.0,3,21.5,312.889
130,8.0,3,25.49,376.4
131,8.0,3,26.0,383.805
132,8.0,3,30.0,449.7425
133,9.0,1,5.0,58.32
134,9.0,1,5.96,71.5685
135,9.0,1,7.0,84.5355
136,9.0,1,11.97,154.014
137,9.0,1,13.8,178.92
138,9.0,1,15.8,205.692
139,9.0,2,16.0,225.5535
140,9.0,2,19.0,276.608
141,9.0,2,25.5,379.418
142,9.0,3,16.0,235.855
143,9.0,3,19.0,282.436
144,9.0,3,25.5,389.5675
145,9.0,3,30.0,460.24
146,9.0,4,16.0,224.587
147,10.0,2,16.4,231.975
148,10.0,2,16.5,230.065
149,10.0,2,17.0,235.484
150,10.0,2,20.0,284.7225
151,10.0,2,20.5,291.0265
152,10.0,2,21.0,299.14
153,10.0,2,21.5,307.879
154,10.0,2,24.0,341.754
155,10.0,2,25.5,373.1945
156,10.0,3,16.0,228.21
157,10.0,3,16.5,236.93
158,10.0,3,20.0,283.132
159,10.0,3,20.5,299.94
160,10.0,3,21.0,307.988
161,10.0,3,24.5,366.19
162,10.0,3,25.0,363.01
163,10.0,3,25.5,387.657
164,10.0,3,26.5,395.2525
165,10.0,3,27.5,420.047
166,10.0,3,28.5,431.596
167,10.0,3,31.0,484.268
168,10.0,3,32.0,484.824
169,10.0,3,33.0,512.8205
170,10.0,4,12.0,166.555
171,10.0,4,16.5,226.222
172,10.0,4,17.0,239.525
173,11.0,1,5.07,58.2125
174,11.0,1,6.07,70.031
175,11.0,1,7.07,81.4575
176,11.0,1,8.06,93.378
177,11.0,1,10.16,127.613
178,11.0,1,12.1,155.743
179,11.0,1,16.22,213.268
180,11.0,1,18.0,237.599
181,11.0,2,16.05,228.39
182,11.0,2,16.5,232.856
183,11.0,2,19.45,279.84
184,11.0,2,20.0,284.1805
185,11.0,2,24.0,353.5
186,11.0,3,16.5,241.28
187,11.0,3,19.5,291.698
188,11.0,3,23.6,349.02
189,11.0,3,24.0,357.7
190,11.0,3,26.5,413.661
191,11.0,3,29.5,459.732
192,11.0,4,16.5,229.435
193,12.0,1,5.07,59.739
194,12.0,1,5.5,65.1755
195,12.0,1,6.08,73.254
196,12.0,1,7.01,84.354
197,12.0,1,7.55,91.853
198,12.0,1,10.34,128.781
199,12.0,1,11.36,142.4505
200,12.0,1,12.3,155.195
201,12.0,1,13.4,169.757
202,12.0,1,15.89,204.8015
203,12.0,1,18.67,239.34
204,13.0,2,16.8,239.84
205,13.0,2,17.0,235.45
206,13.0,2,17.5,243.5825
207,13.0,2,19.0,262.4475
208,13.0,2,21.5,310.84
209,13.0,2,22.5,320.247
210,13.0,2,23.5,332.297
211,13.0,2,24.5,350.286
212,13.0,3,17.5,245.735
213,13.0,3,19.5,276.896
214,13.0,3,23.5,337.046
215,13.0,3,24.0,347.621
216,13.0,3,24.25,348.05
217,13.0,3,25.5,369.103
218,13.0,3,30.5,443.87
219,13.0,3,32.0,490.74
220,13.0,4,13.0,182.1275
221,13.0,4,17.0,231.3
222,14.0,1,5.0,58.165
223,14.0,1,5.64,65.7325
224,14.0,1,6.0,70.8475
225,14.0,1,6.5,76.928
226,14.0,1,7.0,83.452
227,14.0,1,8.0,96.87
228,14.0,1,10.27,126.792
229,14.0,1,12.0,149.688
230,14.0,1,14.6,182.843
231,14.0,1,16.5,215.1085
232,14.0,1,18.0,229.6
233,14.0,2,16.5,235.0
234,14.0,2,16.64,234.95
235,14.0,2,19.5,276.5505
236,14.0,2,19.55,282.655
237,14.0,2,20.0,291.952
238,14.0,2,24.5,350.495
239,14.0,3,16.5,235.596
240,14.0,3,19.0,280.8
241,14.0,3,19.5,294.211
242,14.0,3,24.0,354.7015
243,14.0,3,26.0,379.1485
244,14.0,4,13.0,182.636
245,14.0,4,16.5,229.784
246,15.0,1,5.0,58.29
247,15.0,1,7.14,87.026
248,15.0,1,7.15,87.5545
249,15.0,1,8.0,99.0985
250,15.0,1,8.01,99.049
251,15.0,1,9.0,111.371
252,15.0,1,12.0,154.618
253,15.0,1,12.24,160.129
254,15.0,1,12.45,159.7995
255,15.0,1,13.0,167.62
256,15.0,1,14.0,180.495
257,15.0,1,16.0,207.961
258,15.0,2,15.56,218.48
259,15.0,2,16.0,219.472
260,15.0,2,17.0,244.58
261,15.0,2,20.0,281.938
262,15.0,2,24.0,344.276
263,15.0,2,24.5,339.292
264,15.0,3,16.0,231.99
265,15.0,3,20.0,292.968
266,15.0,3,24.0,356.68
267,15.0,4,16.0,220.4
268,16.0,1,5.0,54.1025
269,16.0,1,6.0,67.9765
270,16.0,1,7.0,81.613
271,16.0,1,8.52,102.88
272,16.0,1,10.08,126.2
273,16.0,1,12.05,154.3165
274,17.0,2,16.0,231.996
275,17.0,2,16.01,245.435
276,17.0,2,16.5,233.45
277,17.0,2,20.0,291.348
278,17.0,2,23.5,343.4255
279,17.0,3,16.5,243.03
280,17.0,3,21.5,324.76
281,17.0,3,24.5,373.25
282,17.0,4,16.0,233.7
283,18.0,1,5.0,58.652
284,18.0,1,6.0,71.072
285,18.0,1,6.86,84.262
286,18.0,1,7.0,84.96
287,18.0,1,9.68,121.3545
288,18.0,1,12.0,156.0135
289,18.0,1,15.42,203.7435
290,18.0,1,16.42,216.38
291,18.0,2,17.5,253.576
292,18.0,2,20.5,304.183
293,18.0,2,22.5,350.89
294,18.0,3,16.0,231.009
295,18.0,3,21.0,307.804
296,18.0,3,25.0,372.37
297,18.0,3,26.0,381.61
298,18.0,3,31.0,457.596
299,18.0,4,17.5,251.715
300,19.0,2,17.66,253.445
301,19.0,2,18.5,257.63
302,19.0,2,19.15,280.36
303,19.0,2,20.0,281.3575
304,19.0,2,21.63,329.025
305,19.0,2,22.5,319.3965
306,19.0,2,27.0,389.286
307,19.0,3,17.44,265.78
308,19.0,3,18.0,262.09
309,19.0,3,20.0,288.1735
310,19.0,3,21.14,333.05
311,19.0,3,22.0,324.83
312,19.0,3,25.48,405.825
313,19.0,3,26.5,396.02
314,19.0,3,28.0,432.092
315,19.0,4,14.0,194.097
316,19.0,4,17.66,255.925
317,19.0,4,18.5,258.195
318,20.0,1,5.0,56.9345
319,20.0,1,6.0,70.2385
320,20.0,1,7.0,85.21
321,20.0,1,8.0,97.16
322,20.0,1,9.0,114.0275
323,20.0,1,9.87,124.514
324,20.0,1,11.0,144.5725
325,20.0,1,12.0,154.295
326,20.0,1,14.0,179.25
327,20.0,1,16.0,204.75
328,20.0,1,21.0,267.228
329,21.0,1,5.02,58.642
330,21.0,1,5.91,70.15
331,21.0,1,6.02,70.453
332,21.0,1,8.3,105.0555
333,21.0,1,9.16,115.49
334,21.0,1,11.07,140.915
335,21.0,1,12.08,153.663
336,21.0,1,13.04,167.28
337,22.0,1,5.0,58.908
338,22.0,1,6.0,71.639
339,22.0,1,7.0,86.604
340,22.0,1,7.14,88.6575
341,22.0,1,8.0,100.002
342,22.0,1,8.14,101.6185
343,22.0,1,10.43,130.2065
344,22.0,1,10.55,132.688
345,22.0,1,11.91,149.3875
346,22.0,1,12.0,150.284
347,22.0,1,14.0,178.3865
348,22.0,1,16.2,209.8775
349,22.0,2,16.0,220.782
350,22.0,2,16.5,231.852
351,22.0,2,18.87,287.45
352,22.0,2,20.0,280.005
353,22.0,2,20.5,292.02
354,22.0,2,22.0,319.1155
355,22.0,2,23.5,336.005
356,22.0,2,24.0,338.005
357,22.0,2,25.0,343.54
358,22.0,3,16.0,234.1375
359,22.0,3,20.0,293.412
360,22.0,3,21.0,314.9535
361,22.0,3,22.0,328.7235
362,22.0,3,24.0,360.832
363,22.0,3,25.0,375.4775
364,22.0,3,28.0,437.676
365,22.0,3,28.5,439.4675
366,22.0,4,16.0,225.396
367,22.0,4,16.5,235.555
368,23.0,2,17.0,229.3
369,23.0,2,19.5,272.1675
370,23.0,2,20.0,281.645
371,23.0,2,22.5,314.28
372,23.0,2,26.0,369.7
373,23.0,3,16.0,231.522
374,23.0,3,19.0,274.479
375,23.0,3,21.5,308.2325
376,23.0,3,25.5,376.7385
377,23.0,4,13.0,177.9575
378,23.0,4,17.0,225.6095
379,24.0,2,16.0,231.13
380,24.0,2,16.22,241.925
381,24.0,2,16.5,243.8
382,24.0,2,20.13,304.71
383,24.0,2,20.5,296.724
384,24.0,2,23.29,357.03
385,24.0,2,24.0,352.96
386,24.0,3,16.5,236.451
387,24.0,3,20.07,309.08
388,24.0,3,20.5,300.098
389,24.0,3,23.0,349.84
390,24.0,3,25.0,375.19
391,24.0,3,32.0,521.871
392,24.0,4,16.5,241.072
393,25.0,2,15.55,223.185
394,25.0,2,16.5,218.066
395,25.0,2,19.62,280.79
396,25.0,2,20.5,277.5935
397,25.0,2,21.5,296.745
398,25.0,2,25.05,363.075
399,25.0,2,26.0,357.231
400,25.0,3,16.47,240.35
401,25.0,3,16.5,236.792
402,25.0,3,19.86,290.5
403,25.0,3,20.5,292.0145
404,25.0,3,24.0,353.69
405,25.0,3,30.5,478.8415
406,25.0,4,14.0,194.384
407,25.0,4,16.5,220.663
408,26.0,2,16.23,221.035
409,26.0,2,16.5,228.385
410,26.0,2,18.0,256.8875
411,26.0,2,22.5,318.16
412,26.0,2,22.69,327.11
413,26.0,2,27.0,385.07
414,26.0,3,17.0,246.8625
415,26.0,3,21.5,326.36
416,26.0,3,22.5,337.28
417,26.0,3,23.44,351.95
418,26.0,3,23.5,348.995
419,26.0,3,25.0,369.753
420,26.0,3,26.0,388.475
421,26.0,3,28.0,427.9325
422,26.0,3,32.0,502.825
423,26.0,4,16.5,221.95
424,27.0,1,5.0,59.05
425,27.0,1,6.0,71.49
426,27.0,1,7.0,84.48
427,27.0,1,8.0,97.68
428,27.0,1,9.0,111.245
429,27.0,1,10.0,124.7125
430,27.0,1,11.0,138.323
431,27.0,1,11.14,144.6975
432,27.0,1,12.0,151.315
433,27.0,1,14.42,187.094
434,27.0,1,16.0,206.414
435,27.0,2,16.0,225.109
436,27.0,2,21.0,301.883
437,27.0,2,24.5,359.884
438,27.0,3,16.0,228.76
439,27.0,3,20.5,304.518
440,27.0,3,24.0,357.085
441,27.0,4,16.0,214.535
442,28.0,1,5.0,58.667
443,28.0,1,6.0,71.0105
444,28.0,1,7.0,83.657
445,28.0,1,8.0,96.81
446,28.0,1,10.0,124.0765
447,28.0,1,13.3,168.974
448,28.0,1,14.0,178.3485
449,28.0,1,16.0,205.7685
450,29.0,1,5.0,59.174
451,29.0,1,5.01,58.4815
452,29.0,1,5.99,70.703
453,29.0,1,6.0,70.182
454,29.0,1,7.0,82.6045
455,29.0,1,7.04,83.3925
456,29.0,1,8.04,96.694
457,29.0,1,8.27,102.544
458,29.0,1,9.99,124.774
459,29.0,1,11.83,150.25
460,29.0,2,15.51,239.11
461,29.0,2,16.0,227.93
462,29.0,2,20.5,306.65
463,29.0,3,16.0,236.756
464,29.0,3,20.5,306.5965
465,29.0,3,23.5,349.6
466,30.0,1,5.0,57.742
467,30.0,1,5.03,57.775
468,30.0,1,6.0,70.407
469,30.0,1,7.0,83.082
470,30.0,1,7.64,89.65
471,30.0,1,8.0,96.21
472,30.0,1,9.0,113.506
